lake.name	date	Year	sum_mg_ww_L
Big Moose	1994-06-30	1994	0.02592736
Big Moose	1994-07-25	1994	0.00414838
Big Moose	1994-08-30	1994	0.00774463
Big Moose	1995-06-20	1995	0.00209846
Big Moose	1995-08-07	1995	0.00986133
Big Moose	1995-09-12	1995	0.00605669
Big Moose	1996-06-26	1996	0.00982524
Big Moose	1996-07-23	1996	0.01041227
Big Moose	1996-08-20	1996	0.01073974
Big Moose	1997-07-09	1997	0.00802145
Big Moose	1997-08-19	1997	0.00531375
Big Moose	1998-07-14	1998	0.00716459
Big Moose	1998-08-17	1998	0.01134397
Big Moose	1999-06-30	1999	0.01173827
Big Moose	1999-08-24	1999	0.00355698
Big Moose	2000-07-19	2000	0.00744739
Big Moose	2000-08-23	2000	0.02036323
Big Moose	2001-07-18	2001	0.01021869
Big Moose	2001-08-08	2001	0.0051939
Big Moose	2002-08-14	2002	0.00539241
Big Moose	2002-09-17	2002	0.00168935
Big Moose	2003-07-16	2003	0.0053539
Big Moose	2003-09-05	2003	0.00643417
Big Moose	2004-07-07	2004	0.0106937
Big Moose	2004-08-10	2004	0.01291396
Big Moose	2005-07-20	2005	0.06433327
Big Moose	2005-08-17	2005	0.01379499
Big Moose	2006-07-17	2006	0.02749744
Big Moose	2006-08-16	2006	0.00857228
Big Moose	2007-07-12	2007	0.00731288
Big Moose	2007-07-31	2007	0.00254097
Big Moose	2008-07-01	2008	0.02925218
Big Moose	2008-08-04	2008	0.01426768
Big Moose	2010-07-08	2010	0.01318677
Big Moose	2010-08-18	2010	0.01647808
Big Moose	2011-07-12	2011	0.06279337
Big Moose	2011-08-09	2011	0.00377025
Big Moose	2012-07-09	2012	0.14547868
Brooktrout	1994-07-13	1994	0.00234624
Brooktrout	1994-07-26	1994	0.00965048
Brooktrout	1994-08-22	1994	0.01149539
Brooktrout	1995-06-12	1995	0.00878742
Brooktrout	1995-08-14	1995	0.00456295
Brooktrout	1995-09-05	1995	0.01674743
Brooktrout	1996-06-27	1996	0.01061888
Brooktrout	1996-07-17	1996	0.01473263
Brooktrout	1996-08-13	1996	0.02105158
Brooktrout	1997-07-07	1997	0.01183436
Brooktrout	1997-08-11	1997	0.03338471
Brooktrout	1998-07-07	1998	0.02352175
Brooktrout	1998-08-12	1998	0.02957386
Brooktrout	1999-07-06	1999	0.0108472
Brooktrout	1999-08-16	1999	0.02314796
Brooktrout	2000-07-11	2000	0.01880285
Brooktrout	2000-08-14	2000	0.00749123
Brooktrout	2001-07-09	2001	0.04448508
Brooktrout	2001-09-05	2001	0.03522034
Brooktrout	2002-09-12	2002	0.00570712
Brooktrout	2002-09-19	2002	0.01608271
Brooktrout	2003-07-08	2003	0.02322578
Brooktrout	2003-08-05	2003	0.03587502
Brooktrout	2004-07-12	2004	0.02348883
Brooktrout	2004-08-02	2004	0.03143429
Brooktrout	2005-07-11	2005	0.02580018
Brooktrout	2005-08-08	2005	0.02675895
Brooktrout	2006-07-11	2006	0.00414236
Brooktrout	2006-08-09	2006	0.01182538
Brooktrout	2007-07-17	2007	0.01469154
Brooktrout	2007-08-02	2007	0.02129195
Brooktrout	2008-07-02	2008	0.12397786
Brooktrout	2008-08-07	2008	0.01649702
Brooktrout	2010-07-15	2010	0.01063327
Brooktrout	2010-08-10	2010	0.01456824
Brooktrout	2011-07-19	2011	0.02495969
Brooktrout	2011-08-17	2011	0.06019564
Brooktrout	2012-07-19	2012	0.00410319
Carry	1994-07-14	1994	0.00526851
Carry	1994-07-26	1994	0.00921578
Carry	1994-08-22	1994	0.00186584
Carry	1995-06-12	1995	0.5536582
Carry	1995-08-14	1995	0.00572724
Carry	1995-09-05	1995	0.02371206
Carry	1996-06-27	1996	0.06360368
Carry	1996-07-17	1996	0.0133722
Carry	1996-08-13	1996	0.0391998
Carry	1997-07-07	1997	0.0277668
Carry	1997-08-11	1997	0.34670101
Carry	1998-07-07	1998	0.11067158
Carry	1998-08-12	1998	0.02404025
Carry	1999-07-06	1999	0.01622958
Carry	1999-08-16	1999	0.23140202
Carry	2000-07-11	2000	0.52573523
Carry	2000-08-14	2000	0.03843634
Carry	2001-07-09	2001	0.01171806
Carry	2001-09-05	2001	0.01060587
Carry	2002-09-12	2002	0.01510671
Carry	2002-09-20	2002	0.02762244
Carry	2003-07-08	2003	0.01306898
Carry	2003-08-05	2003	0.10375573
Carry	2004-07-12	2004	0.01526868
Carry	2004-08-02	2004	0.01836608
Carry	2005-07-11	2005	0.02089653
Carry	2005-08-08	2005	0.01615048
Carry	2006-07-11	2006	0.02512115
Carry	2006-08-08	2006	0.0146025
Cascade	1994-06-20	1994	0.07006716
Cascade	1994-07-25	1994	0.00375939
Cascade	1994-08-22	1994	0.01600182
Cascade	1995-06-13	1995	0.04282717
Cascade	1995-08-15	1995	0.02209468
Cascade	1995-09-06	1995	0.57164019
Cascade	1996-06-18	1996	0.01622988
Cascade	1996-07-17	1996	0.01075946
Cascade	1996-08-13	1996	0.0378114
Cascade	1997-07-07	1997	0.00501433
Cascade	1997-08-11	1997	0.0023621
Cascade	1998-07-07	1998	0.02532532
Cascade	1998-08-11	1998	0.0178699
Cascade	1999-07-07	1999	0.01490547
Cascade	1999-08-17	1999	0.04893582
Cascade	2000-07-11	2000	0.06442111
Cascade	2000-08-15	2000	0.00713995
Cascade	2001-07-09	2001	0.01034426
Cascade	2001-09-06	2001	0.01390057
Cascade	2002-08-27	2002	0.43299263
Cascade	2002-09-17	2002	0.00503015
Cascade	2003-07-10	2003	0.00652
Cascade	2003-08-07	2003	0.01203908
Cascade	2004-07-21	2004	0.00635897
Cascade	2004-08-04	2004	0.01135145
Cascade	2005-07-13	2005	0.02297225
Cascade	2005-08-10	2005	0.01774977
Cascade	2006-07-14	2006	0.019703
Cascade	2006-08-10	2006	0.01743201
Cascade	2007-07-12	2007	0.07660537
Cascade	2007-08-01	2007	0.00836073
Cascade	2008-07-01	2008	0.02276133
Cascade	2008-08-05	2008	0.00691724
Cascade	2010-07-13	2010	0.02292956
Cascade	2010-08-11	2010	0.01307211
Cascade	2011-07-11	2011	0.05274328
Cascade	2011-08-09	2011	0.03219137
Cascade	2012-07-10	2012	0.68185992
Constable	1994-06-20	1994	0.00475855
Constable	1994-07-25	1994	0.08009098
Constable	1994-08-23	1994	0.00786452
Constable	1995-06-13	1995	0.00808864
Constable	1995-08-15	1995	0.02692041
Constable	1995-09-06	1995	0.05376168
Constable	1996-06-18	1996	0.02180135
Constable	1996-07-18	1996	0.05248017
Constable	1996-08-15	1996	0.13455177
Constable	1997-07-10	1997	0.02422486
Constable	1997-08-12	1997	0.09230885
Constable	1998-07-08	1998	0.10036223
Constable	1998-08-11	1998	0.04764364
Constable	1999-07-07	1999	0.08298088
Constable	1999-08-17	1999	0.06011568
Constable	2000-07-12	2000	0.01200608
Constable	2000-08-15	2000	0.08185014
Constable	2001-07-10	2001	0.01695506
Constable	2001-09-06	2001	0.02497838
Constable	2002-09-12	2002	0.01764051
Constable	2002-09-24	2002	0.0139629
Constable	2003-07-10	2003	0.01859968
Constable	2003-08-07	2003	0.0579946
Constable	2004-07-21	2004	0.02600624
Constable	2004-08-04	2004	0.05360793
Constable	2005-07-13	2005	0.05104718
Constable	2005-08-10	2005	0.04786601
Constable	2006-07-14	2006	0.00522615
Constable	2006-08-10	2006	0.02408208
Dart	1994-06-28	1994	0.02050479
Dart	1994-07-25	1994	0.00809094
Dart	1994-08-24	1994	0.0046491
Dart	1995-06-20	1995	0.01217756
Dart	1995-08-09	1995	0.00946925
Dart	1995-09-13	1995	0.01001762
Dart	1996-06-26	1996	0.01973668
Dart	1996-08-20	1996	0.00447518
Dart	1997-07-09	1997	0.02958257
Dart	1997-08-19	1997	0.0096685
Dart	1998-07-13	1998	0.03476903
Dart	1998-08-17	1998	0.01277761
Dart	1999-06-30	1999	0.05112666
Dart	1999-08-23	1999	0.01216064
Dart	2000-07-13	2000	0.00497749
Dart	2000-08-23	2000	0.0080313
Dart	2001-08-08	2001	0.01796872
Dart	2001-09-08	2001	0.00609974
Dart	2002-08-13	2002	0.0046855
Dart	2002-09-10	2002	0.00671185
Dart	2003-07-16	2003	0.00911176
Dart	2003-09-05	2003	0.0174438
Dart	2004-07-06	2004	0.00919011
Dart	2004-08-11	2004	0.00802642
Dart	2005-07-19	2005	0.02149098
Dart	2005-08-16	2005	0.005438
Dart	2006-07-17	2006	0.01602509
Dart	2006-08-15	2006	0.00624448
Dart	2007-07-13	2007	0.00870717
Dart	2007-07-31	2007	0.00506797
Dart	2008-06-30	2008	0.02706528
Dart	2008-08-06	2008	0.02861923
Dart	2010-07-07	2010	0.03058256
Dart	2010-08-12	2010	0.00241599
Dart	2011-07-14	2011	0.00867041
Dart	2011-08-09	2011	0.00686422
Dart	2012-07-10	2012	0.01485584
G	1994-06-21	1994	0.01313494
G	1994-07-26	1994	0.29383672
G	1994-08-22	1994	0.00784102
G	1995-06-12	1995	0.02076778
G	1995-08-14	1995	0.04864698
G	1995-09-05	1995	0.05567063
G	1996-06-27	1996	0.39019624
G	1996-07-17	1996	0.65132282
G	1996-08-13	1996	0.23264207
G	1997-07-07	1997	0.07904631
G	1997-08-11	1997	0.03075864
G	1998-07-07	1998	0.05640865
G	1998-08-13	1998	0.01325331
G	1999-07-06	1999	0.20745324
G	1999-08-16	1999	0.04942502
G	2000-07-11	2000	0.05769767
G	2000-08-14	2000	0.10069934
G	2001-07-09	2001	0.02868814
G	2001-09-05	2001	0.00807348
G	2002-08-28	2002	0.01612728
G	2002-09-20	2002	0.01576468
G	2003-07-08	2003	0.11788288
G	2003-08-05	2003	0.01742824
G	2004-07-12	2004	0.02248287
G	2004-08-02	2004	0.03738736
G	2005-07-11	2005	0.03365185
G	2005-08-08	2005	0.0604733
G	2006-07-11	2006	0.05460444
G	2006-08-08	2006	0.01605975
G	2007-07-13	2007	0.05246468
G	2007-08-02	2007	0.02125794
G	2008-08-07	2008	0.03241778
G	2010-07-20	2010	0.15657979
G	2010-08-17	2010	0.02171121
G	2011-07-12	2011	0.03101722
G	2011-08-08	2011	0.00468057
G	2012-07-09	2012	0.00988253
Grass	1994-06-20	1994	0.01263846
Grass	1994-07-25	1994	0.03100818
Grass	1994-08-23	1994	0.0041414
Grass	1995-06-13	1995	0.02055664
Grass	1995-08-15	1995	0.00485686
Grass	1995-09-07	1995	0.00746756
Grass	1996-06-18	1996	0.05768102
Grass	1996-07-19	1996	0.02601227
Grass	1996-08-14	1996	0.01127892
Grass	1997-07-08	1997	0.02849803
Grass	1997-08-12	1997	0.02031403
Grass	1998-07-09	1998	0.00970679
Grass	1998-08-12	1998	0.0126514
Grass	1999-07-08	1999	0.003891
Grass	1999-08-18	1999	0.02342799
