lake.name	date	Year	sum_mg_ww_L
Big Moose	1994-06-30	1994	1.099653436
Big Moose	1994-07-25	1994	0.297551947
Big Moose	1994-08-30	1994	0.509034815
Big Moose	1995-06-20	1995	0.59298823
Big Moose	1995-08-07	1995	2.07470144
Big Moose	1995-09-12	1995	0.420435929
Big Moose	1996-06-26	1996	0.564646316
Big Moose	1996-07-23	1996	0.38770428
Big Moose	1996-08-20	1996	0.422436158
Big Moose	1997-07-09	1997	0.249041962
Big Moose	1997-08-19	1997	0.294779142
Big Moose	1998-07-14	1998	0.214069801
Big Moose	1998-08-17	1998	0.21608135
Big Moose	1999-06-30	1999	0.797798451
Big Moose	1999-08-24	1999	0.170307571
Big Moose	2000-07-19	2000	0.499374619
Big Moose	2000-08-21	2000	0.442230358
Big Moose	2001-07-11	2001	0.60448939
Big Moose	2001-08-08	2001	0.595756333
Big Moose	2002-08-14	2002	0.145964417
Big Moose	2002-09-17	2002	0.19086864
Big Moose	2003-07-16	2003	0.416261064
Big Moose	2003-09-05	2003	0.477146339
Big Moose	2004-07-07	2004	0.285406307
Big Moose	2004-08-10	2004	0.221273214
Big Moose	2005-07-20	2005	0.157012689
Big Moose	2005-08-17	2005	0.156254182
Big Moose	2006-07-17	2006	0.33239524
Big Moose	2006-08-16	2006	0.2683657
Big Moose	2007-07-12	2007	0.040400356
Big Moose	2007-07-31	2007	0.360566231
Big Moose	2008-07-01	2008	0.121329068
Big Moose	2008-08-04	2008	0.049811908
Big Moose	2010-07-08	2010	0.026804073
Big Moose	2010-08-18	2010	0.099089717
Big Moose	2011-07-12	2011	0.210369039
Big Moose	2011-08-09	2011	0.089344397
Big Moose	2012-07-09	2012	0.11727916
Big Moose	2012-08-07	2012	0.256201209
Brooktrout	1994-07-13	1994	0.083705716
Brooktrout	1994-07-26	1994	0.300916655
Brooktrout	1994-08-22	1994	0.111382242
Brooktrout	1995-06-12	1995	0.02911391
Brooktrout	1995-08-14	1995	0.01080028
Brooktrout	1995-09-05	1995	0.001213926
Brooktrout	1996-07-17	1996	0.204400043
Brooktrout	1996-08-13	1996	0.012299313
Brooktrout	1997-07-07	1997	0.086894971
Brooktrout	1997-08-11	1997	0.056505895
Brooktrout	1998-07-07	1998	0.09916954
Brooktrout	1998-08-12	1998	0.173618493
Brooktrout	1999-07-06	1999	0.0268608
Brooktrout	1999-08-16	1999	0.023624244
Brooktrout	2000-07-11	2000	0.038878322
Brooktrout	2000-08-14	2000	0.019017152
Brooktrout	2001-07-09	2001	0.10280538
Brooktrout	2001-09-05	2001	0.116369288
Brooktrout	2002-07-23	2002	0.003587938
Brooktrout	2002-09-12	2002	0.310748961
Brooktrout	2003-07-08	2003	0.005695884
Brooktrout	2003-08-05	2003	0.00405475
Brooktrout	2004-07-12	2004	0.069809149
Brooktrout	2004-08-01	2004	0.064396435
Brooktrout	2005-07-11	2005	0.032062487
Brooktrout	2005-08-08	2005	0.007097057
Brooktrout	2006-07-11	2006	0.00621367
Brooktrout	2006-08-09	2006	0.024505855
Brooktrout	2007-07-17	2007	0.00982414
Brooktrout	2007-08-02	2007	0.00677009
